EVENT_TYPE,avg_damage,median_damage,avg_duration,avg_injuries,avg_deaths,event_count,pct_catastrophic,HC_CLUSTER
Astronomical Low Tide,16575.757575757576,0.0,959.1136363636364,0.03484848484848485,0.0030303030303030303,660,0.30303030303030304,2
Avalanche,6459.356014580802,0.0,409.726609963548,0.34264884568651277,0.5188335358444714,823,2.187120291616039,1
Blizzard,82919.65994271437,0.0,1122.966116155768,0.025169114510329698,0.008105308062648546,16409,5.119141934304345,2
Coastal Flood,5054518.460474764,0.0,826.7123761235308,0.003917953445494353,0.012445263885687946,4339,9.011292924637013,2
Cold/Wind Chill,122790.5222779581,0.0,2371.4627323694303,0.01805842431395692,0.038536441428149895,16945,2.336972558276778,2
Debris Flow,566260.6924384027,0.0,429.82158028887,0.10577740016992354,0.062446898895497024,2354,10.960067969413764,2
Dense Fog,3164.8309121219336,0.0,541.3555013098356,0.05072636341986187,0.004108120981185997,16796,0.9168849726125268,2
Dense Smoke,884.3537414965987,0.0,4510.965986394558,0.0,0.0,147,0.6802721088435374,3
Drought,400470.3646606914,0.0,13854.875787451985,0.004532650448143406,0.0,78100,3.9513444302176697,4
Dust Devil,7908.055555555556,1000.0,10.765873015873016,0.2777777777777778,0.01984126984126984,252,5.158730158730158,3
Dust Storm,13898.270893371759,0.0,153.68530259365994,0.27146974063400575,0.022478386167146973,1735,6.22478386167147,3
Excessive Heat,956.4442755825735,0.0,3336.165045592705,0.39052684903748736,0.10253292806484296,19740,0.3799392097264438,3
Extreme Cold/Wind Chill,22042.715009461026,0.0,2045.461637062809,0.0030519440883843008,0.013672709515961667,16383,1.0010376609900506,2
Flash Flood,979567.5007628347,0.0,204.58870813944617,0.06204706690060264,0.018346174384010986,104872,13.866427645129301,2
Flood,719971.8127766303,0.0,3101.5511212747124,0.0353349070522278,0.010091472410740631,67780,13.517261729123636,3
Freezing Fog,7581.9327731092435,0.0,821.1806722689075,0.014705882352941176,0.012605042016806723,476,3.361344537815126,2
Frost/Freeze,401448.14774944494,0.0,766.6197941196259,0.00026912467200430597,0.0002018435040032295,14863,4.864428446477831,2
Funnel Cloud,12.725594749794913,0.0,5.857260049220673,0.00030762920426579164,0.0,9752,0.010254306808859722,2
Hail,106936.93260064567,0.0,2.5867495504376956,0.0029849111372785278,2.129906010290489e-05,328653,2.837947622568484,2
Heat,16273.928013985142,0.0,3549.972810139227,0.33608041455953047,0.09945682712118374,32034,0.1560841605793844,3
Heavy Rain,52640.93700404858,0.0,1056.2043400809716,0.009198380566801619,0.003983805668016194,30875,1.9562753036437248,2
Heavy Snow,15403.865525605734,0.0,1222.1176310266824,0.010097844157967894,0.0018124335668147503,73382,2.0209315635987024,2
High Surf,30776.473813575347,0.0,3399.503592361505,0.035072792588391,0.02675363962941955,10578,0.7846473813575345,3
High Wind,181614.09288299156,0.0,377.15479767518366,0.017447088496545676,0.004221954161640531,91190,6.578572211865335,2
Hurricane (Typhoon),79379940.22317189,75000.0,1693.0702754036088,0.8404558404558404,0.5759734093067427,2106,53.03893637226971,5
Ice Storm,491326.17372984363,0.0,1196.218134673041,0.027955595170569645,0.008670286038408557,12341,15.193258244874809,3
Lake-Effect Snow,109104.36079016027,0.0,1650.86134923593,0.0003727171077152441,0.0011181513231457323,2683,12.858740216175924,3
Lakeshore Flood,415907.8212290503,0.0,2786.421787709497,0.0,0.00558659217877095,358,26.256983240223462,3
Lightning,59241.266148425704,5000.0,14.511548571108998,0.30043062468542026,0.052234215088641574,17881,23.83535596443152,3
Marine Hail,52.9482551143201,0.0,1.5716004813477737,0.0,0.0,831,0.0,2
Marine High Wind,17339.80615735462,0.0,233.71607753705814,0.005701254275940707,0.00798175598631699,877,1.2542759407069555,2
Marine Hurricane/Typhoon,32110.091743119265,0.0,1230.7522935779816,0.0,0.0,109,1.834862385321101,2
Marine Strong Wind,13651.125,100.0,137.34375,0.29375,0.40625,160,5.625,1
Marine Thunderstorm Wind,1379.8848241795863,0.0,5.979801437863745,0.0015161148334719029,0.0013204871130239155,40894,0.04157089059519734,2
Marine Tropical Storm,0.0,0.0,752.4478632478632,0.0,0.04957264957264957,585,0.0,2
Rip Current,95.26431718061674,0.0,455.34526431718064,0.5148678414096917,0.7461453744493393,1816,0.11013215859030838,1
Sleet,6231.042654028436,0.0,783.8827014218009,0.0,0.0,844,7.345971563981042,2
Storm Surge/Tide,36928570.76923077,0.0,1281.5542095699575,0.02604482132041187,0.022410660205935795,1651,25.620835857056328,3
Strong Wind,34942.17433234421,1000.0,433.43805637982194,0.02236646884272997,0.010534124629080118,26960,5.311572700296736,2
Thunderstorm Wind,30824.497805493495,0.0,3.0910685217748215,0.01696369852471327,0.0018563519419400277,428798,5.403010275234492,2
Tornado,1012799.2408936376,1000.0,5.897911202849279,0.6852355512384652,0.051651287032540065,41180,29.764448761534723,3
Tropical Depression,133846.99453551913,0.0,1525.1183970856102,0.009107468123861567,0.0036429872495446266,549,18.761384335154826,3
Tropical Storm,2995003.8186659194,0.0,1334.3738789237668,0.05633408071748879,0.023682735426008968,7136,22.89798206278027,3
Waterspout,947.7474514962183,0.0,6.920256494574153,0.0008220979940808945,0.0008220979940808945,6082,0.11509371917132522,2
Wildfire,4489485.853386809,0.0,5444.178364527629,0.2591354723707665,0.05069073083778966,8976,16.31016042780749,3
Winter Storm,36814.47551966228,0.0,1334.5654797412012,0.017115587573991647,0.0028678933602532923,87172,3.241866654430322,2
Winter Weather,1645.4748433258062,0.0,851.3959226651104,0.03045949306066526,0.0024230583817522137,78826,0.5696090122548397,2
